2025-04-23 19:44:38.745 INFO  [Thread-8CD7进货线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-8CD7进货线程CD7进货
2025-04-23 19:44:38.749 INFO  [Thread-11销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-11销售线程CD5销售了5剩余5
2025-04-23 19:44:38.749 INFO  [Thread-11销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-11销售线程睡眠时间7
2025-04-23 19:44:38.758 INFO  [Thread-11销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-11销售线程CD7销售了5剩余5
2025-04-23 19:44:38.758 INFO  [Thread-11销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-11销售线程睡眠时间54
2025-04-23 19:44:38.769 INFO  [Thread-14销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-14销售线程CD0销售了3剩余0
2025-04-23 19:44:38.769 INFO  [Thread-14销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-14销售线程睡眠时间191
2025-04-23 19:44:38.801 INFO  [Thread-12销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-12销售线程CD7销售了4剩余1
2025-04-23 19:44:38.801 INFO  [Thread-12销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-12销售线程睡眠时间179
2025-04-23 19:44:38.806 INFO  [Thread-17租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025CD4已借出Thread-17租借线程放弃
2025-04-23 19:44:38.806 INFO  [Thread-17租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-17租借线程睡眠时间64
2025-04-23 19:44:38.813 INFO  [Thread-11销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-11销售线程CD5销售了1剩余4
